id,property_type,address,city,state,zip,price,beds,baths,neighborhoods,sq-foot,price_sqfoot,hoa_month,lat,lng,built_year,coordinates
1,Condo/Co-op,1548 Jones St,San Francisco,CA,94109,1400000,2,2,Nob Hill,1158,1209,339,37.7956865,-122.4147746,1910,"37.7956865,-122.4147746"
2,Condo/Co-op,2200 Market St #402,San Francisco,CA,94114,1150000,1,1.5,Duboce Triangle,825,1394,627,37.7657893,-122.431598,2014,"37.7657893,-122.431598"
3,Condo/Co-op,2040 Franklin St #1004,San Francisco,CA,94109,998000,1,1,Pacific Heights,919,1086,942,37.7935189,-122.4243158,1966,"37.7935189,-122.4243158"
4,Condo/Co-op,1425 Vallejo St #205,San Francisco,CA,94109,1349000,2,2,Russian Hill,1034,1305,744,37.7967355,-122.4208266,1982,"37.7967355,-122.42082659999998"
5,Condo/Co-op,260 King St #903,San Francisco,CA,94107,1249000,2,2,Mission Bay,1286,971,932,37.7776422,-122.3934181,2004,"37.7776422,-122.39341809999999"
6,Condo/Co-op,125 Gilbert St #5,San Francisco,CA,94103,929000,1,1.5,South of Market,,,667,37.7730847,-122.4020908,1996,"37.7730847,-122.40209080000001"
7,Condo/Co-op,77 Van Ness Ave #505,San Francisco,CA,94102,845000,1,1,Van Ness/Civic Center,947,892,443,37.7760549,-122.4199372,2009,"37.7760549,-122.41993719999999"
8,Multi-Family (2-4 Unit),351 29th Ave,San Francisco,CA,94121,2668000,6,4,Central Richmond,3038,878,,37.782705,-122.4895507,1911,"37.782705,-122.4895507"
9,Condo/Co-op,1260 Clay St #205,San Francisco,CA,94108,799000,1,1,Nob Hill,,,575,37.7935706,-122.4136811,1950,"37.7935706,-122.4136811"
10,Condo/Co-op,115 Carl St #3,San Francisco,CA,94117,685000,1,1,Parnassus/Ashbury Heights,572,1198,360,37.7655847,-122.4504283,1964,"37.7655847,-122.4504283"
11,Condo/Co-op,2987 Harrison St,San Francisco,CA,94110,1325000,3,2,Inner Mission,1658,799,180,37.749783,-122.4113096,1900,"37.749783,-122.4113096"
12,Condo/Co-op,1805 Pine St #22,San Francisco,CA,94109,609000,1,1,Lower Pacific Height,525,1160,484,37.7887911,-122.4256463,1924,"37.788791100000005,-122.4256463"
13,Single Family Residential,1469 Palou Ave,San Francisco,CA,94124,999000,4,2,Bayview,2362,423,,37.7324071,-122.3886318,1900,"37.732407099999996,-122.3886318"
14,Condo/Co-op,400 Beale St #1314,San Francisco,CA,94105,1599000,3,2,South Beach,1433,1116,978,37.7869049,-122.3909202,2001,"37.7869049,-122.39092020000001"
15,Condo/Co-op,10 Innes Ct #106,San Francisco,CA,94124,674998,1,1,Hunters Point,750,900,420,37.7280682,-122.3679965,2018,"37.7280682,-122.3679965"
16,Condo/Co-op,1150 Folsom St #4,San Francisco,CA,94103,999000,1,1.5,South of Market,1200,833,524,37.7759504,-122.4092942,2000,"37.7759504,-122.4092942"
17,Condo/Co-op,631 Folsom St Unit 10C,San Francisco,CA,94107,1249995,2,2,Yerba Buena,1054,1186,994,37.7847302,-122.3968612,2009,"37.784730200000006,-122.39686119999999"
18,Condo/Co-op,1075 Market St #211,San Francisco,CA,94103,579998,0,1,South of Market,423,1371,626,37.7807996,-122.4118342,2018,"37.7807996,-122.4118342"
19,Condo/Co-op,1160 Mission St #810,San Francisco,CA,94103,799000,1,1,South of Market,755,1058,777,37.7787037,-122.4126341,2008,"37.7787037,-122.4126341"
20,Single Family Residential,1231 Judah St,San Francisco,CA,94122,1395000,3,4,Inner Sunset,1720,811,,37.761522,-122.475415,1937,"37.761522,-122.47541499999998"
21,Single Family Residential,817 Guerrero St,San Francisco,CA,94110,2600000,2,2,Eureka Valley/Dolore,,,,37.758045,-122.4232997,1900,"37.758045,-122.4232997"
22,Condo/Co-op,1875 Mission St #108,San Francisco,CA,94103,649000,0,1,Inner Mission,619,1048,526,37.7671013,-122.4194461,2014,"37.7671013,-122.41944609999999"
23,Condo/Co-op,221 Clara St #1,San Francisco,CA,94107,1175000,2,2.5,South of Market,1518,774,471,37.7789397,-122.4027541,2000,"37.7789397,-122.4027541"
