SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1548 Jones St,San Francisco,CA,94109,1400000,2,2.0,Nob Hill,1158,,1910,2,1209,339,Active,,,http://www.redfin.com/CA/San-Francisco/1548-Jones-St-94109/home/56449599,San Francisco MLS,500358,N,Y,37.7956865,-122.4147746
MLS Listing,,Condo/Co-op,2200 Market St #402,San Francisco,CA,94114,1150000,1,1.5,Duboce Triangle,825,,2014,4,1394,627,Active,,,http://www.redfin.com/CA/San-Francisco/2200-Market-St-94114/unit-402/home/110052103,San Francisco MLS,500215,N,Y,37.7657893,-122.431598
MLS Listing,,Condo/Co-op,2040 Franklin St #1004,San Francisco,CA,94109,998000,1,1.0,Pacific Heights,919,,1966,8,1086,942,Active,,,http://www.redfin.com/CA/San-Francisco/2040-Franklin-St-94109/unit-1004/home/1483570,San Francisco MLS,499672,N,Y,37.7935189,-122.4243158
MLS Listing,,Condo/Co-op,1425 Vallejo St #205,San Francisco,CA,94109,1349000,2,2.0,Russian Hill,1034,,1982,9,1305,744,Active,,,http://www.redfin.com/CA/San-Francisco/1425-Vallejo-St-94109/unit-205/home/22880510,San Francisco MLS,499659,N,Y,37.7967355,-122.4208266
MLS Listing,,Condo/Co-op,260 King St #903,San Francisco,CA,94107,1249000,2,2.0,Mission Bay,1286,,2004,11,971,932,Active,,,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-903/home/22889838,San Francisco MLS,499673,N,Y,37.7776422,-122.3934181
MLS Listing,,Condo/Co-op,125 Gilbert St #5,San Francisco,CA,94103,929000,1,1.5,South of Market,,,1996,15,,667,Active,,,http://www.redfin.com/CA/San-Francisco/125-Gilbert-St-94103/unit-5/home/12396098,San Francisco MLS,499540,N,Y,37.7730847,-122.4020908
MLS Listing,,Condo/Co-op,77 Van Ness Ave #505,San Francisco,CA,94102,845000,1,1.0,Van Ness/Civic Center,947,,2009,17,892,443,Active,,,http://www.redfin.com/CA/San-Francisco/77-Van-Ness-Ave-94102/unit-505/home/40138128,San Francisco MLS,497132,N,Y,37.7760549,-122.4199372
MLS Listing,,Multi-Family (2-4 Unit),351 29th Ave,San Francisco,CA,94121,2668000,6,4.0,Central Richmond,3038,3000,1911,21,878,,Active,,,http://www.redfin.com/CA/San-Francisco/351-29th-Ave-94121/home/1602824,San Francisco MLS,499209,N,Y,37.782705,-122.4895507
MLS Listing,,Condo/Co-op,1260 Clay St #205,San Francisco,CA,94108,799000,1,1.0,Nob Hill,,,1950,21,,575,Active,,,http://www.redfin.com/CA/San-Francisco/1260-Clay-St-94108/unit-205/home/1418433,San Francisco MLS,499200,N,Y,37.7935706,-122.4136811
MLS Listing,,Condo/Co-op,115 Carl St #3,San Francisco,CA,94117,685000,1,1.0,Parnassus/Ashbury Heights,572,,1964,25,1198,360,Active,,,http://www.redfin.com/CA/San-Francisco/115-Carl-St-94117/unit-3/home/169630912,San Francisco MLS,498923,N,Y,37.7655847,-122.4504283
MLS Listing,,Condo/Co-op,2987 Harrison St,San Francisco,CA,94110,1325000,3,2.0,Inner Mission,1658,,1900,27,799,180,Active,,,http://www.redfin.com/CA/San-Francisco/2987-Harrison-St-94110/home/28597482,San Francisco MLS,498803,N,Y,37.749783,-122.4113096
MLS Listing,,Condo/Co-op,1805 Pine St #22,San Francisco,CA,94109,609000,1,1.0,Lower Pacific Height,525,,1924,27,1160,484,Active,,,http://www.redfin.com/CA/San-Francisco/1805-Pine-St-94109/unit-22/home/569343,San Francisco MLS,498795,N,Y,37.7887911,-122.4256463
MLS Listing,,Single Family Residential,1469 Palou Ave,San Francisco,CA,94124,999000,4,2.0,Bayview,2362,2996,1900,31,423,,Active,,,http://www.redfin.com/CA/San-Francisco/1469-Palou-Ave-94124/home/747673,San Francisco MLS,498660,N,Y,37.7324071,-122.3886318
MLS Listing,,Condo/Co-op,400 Beale St #1314,San Francisco,CA,94105,1599000,3,2.0,South Beach,1433,,2001,31,1116,978,Active,,,http://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-1314/home/12399780,San Francisco MLS,498659,N,Y,37.7869049,-122.3909202
MLS Listing,,Condo/Co-op,10 Innes Ct #106,San Francisco,CA,94124,674998,1,1.0,Hunters Point,750,,2018,35,900,420,Active,,,http://www.redfin.com/CA/San-Francisco/10-Innes-Ct-94124/unit-106/home/169576556,San Francisco MLS,498223,N,Y,37.7280682,-122.3679965
MLS Listing,,Condo/Co-op,1150 Folsom St #4,San Francisco,CA,94103,999000,1,1.5,South of Market,1200,,2000,35,833,524,Active,,,http://www.redfin.com/CA/San-Francisco/1150-Folsom-St-94103/unit-4/home/12397407,San Francisco MLS,497742,N,Y,37.7759504,-122.4092942
MLS Listing,,Condo/Co-op,631 Folsom St Unit 10C,San Francisco,CA,94107,1249995,2,2.0,Yerba Buena,1054,,2009,42,1186,994,Active,,,http://www.redfin.com/CA/San-Francisco/631-Folsom-St-94107/unit-10C/home/21966649,San Francisco MLS,496336,N,Y,37.7847302,-122.3968612
MLS Listing,,Condo/Co-op,1075 Market St #211,San Francisco,CA,94103,579998,0,1.0,South of Market,423,,2018,46,1371,626,Active,,,http://www.redfin.com/CA/San-Francisco/1075-Market-St-94103/unit-211/home/146122166,San Francisco MLS,498003,N,Y,37.7807996,-122.4118342
