,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,BUILT YEAR,COORDINATES
0,Condo/Co-op,1548 Jones St,San Francisco,CA,94109,1400000,2.0,2.0,Nob Hill,1158.0,1209.0,339.0,37.7956865,-122.4147746,1910,"37.7956865,-122.4147746"
1,Condo/Co-op,2200 Market St #402,San Francisco,CA,94114,1150000,1.0,1.5,Duboce Triangle,825.0,1394.0,627.0,37.7657893,-122.431598,2014,"37.7657893,-122.431598"
2,Condo/Co-op,2040 Franklin St #1004,San Francisco,CA,94109,998000,1.0,1.0,Pacific Heights,919.0,1086.0,942.0,37.7935189,-122.4243158,1966,"37.7935189,-122.4243158"
3,Condo/Co-op,1425 Vallejo St #205,San Francisco,CA,94109,1349000,2.0,2.0,Russian Hill,1034.0,1305.0,744.0,37.7967355,-122.42082659999998,1982,"37.7967355,-122.42082659999998"
4,Condo/Co-op,260 King St #903,San Francisco,CA,94107,1249000,2.0,2.0,Mission Bay,1286.0,971.0,932.0,37.7776422,-122.39341809999999,2004,"37.7776422,-122.39341809999999"
5,Condo/Co-op,125 Gilbert St #5,San Francisco,CA,94103,929000,1.0,1.5,South of Market,,,667.0,37.7730847,-122.40209080000001,1996,"37.7730847,-122.40209080000001"
6,Condo/Co-op,77 Van Ness Ave #505,San Francisco,CA,94102,845000,1.0,1.0,Van Ness/Civic Center,947.0,892.0,443.0,37.7760549,-122.41993719999999,2009,"37.7760549,-122.41993719999999"
7,Multi-Family (2-4 Unit),351 29th Ave,San Francisco,CA,94121,2668000,6.0,4.0,Central Richmond,3038.0,878.0,,37.782705,-122.4895507,1911,"37.782705,-122.4895507"
8,Condo/Co-op,1260 Clay St #205,San Francisco,CA,94108,799000,1.0,1.0,Nob Hill,,,575.0,37.7935706,-122.4136811,1950,"37.7935706,-122.4136811"
9,Condo/Co-op,115 Carl St #3,San Francisco,CA,94117,685000,1.0,1.0,Parnassus/Ashbury Heights,572.0,1198.0,360.0,37.7655847,-122.4504283,1964,"37.7655847,-122.4504283"
10,Condo/Co-op,2987 Harrison St,San Francisco,CA,94110,1325000,3.0,2.0,Inner Mission,1658.0,799.0,180.0,37.749783,-122.4113096,1900,"37.749783,-122.4113096"
11,Condo/Co-op,1805 Pine St #22,San Francisco,CA,94109,609000,1.0,1.0,Lower Pacific Height,525.0,1160.0,484.0,37.788791100000005,-122.4256463,1924,"37.788791100000005,-122.4256463"
12,Single Family Residential,1469 Palou Ave,San Francisco,CA,94124,999000,4.0,2.0,Bayview,2362.0,423.0,,37.732407099999996,-122.3886318,1900,"37.732407099999996,-122.3886318"
13,Condo/Co-op,400 Beale St #1314,San Francisco,CA,94105,1599000,3.0,2.0,South Beach,1433.0,1116.0,978.0,37.7869049,-122.39092020000001,2001,"37.7869049,-122.39092020000001"
14,Condo/Co-op,10 Innes Ct #106,San Francisco,CA,94124,674998,1.0,1.0,Hunters Point,750.0,900.0,420.0,37.7280682,-122.3679965,2018,"37.7280682,-122.3679965"
15,Condo/Co-op,1150 Folsom St #4,San Francisco,CA,94103,999000,1.0,1.5,South of Market,1200.0,833.0,524.0,37.7759504,-122.4092942,2000,"37.7759504,-122.4092942"
16,Condo/Co-op,631 Folsom St Unit 10C,San Francisco,CA,94107,1249995,2.0,2.0,Yerba Buena,1054.0,1186.0,994.0,37.784730200000006,-122.39686119999999,2009,"37.784730200000006,-122.39686119999999"
17,Condo/Co-op,1075 Market St #211,San Francisco,CA,94103,579998,0.0,1.0,South of Market,423.0,1371.0,626.0,37.7807996,-122.4118342,2018,"37.7807996,-122.4118342"
18,Condo/Co-op,1160 Mission St #810,San Francisco,CA,94103,799000,1.0,1.0,South of Market,755.0,1058.0,777.0,37.7787037,-122.4126341,2008,"37.7787037,-122.4126341"
19,Single Family Residential,1231 Judah St,San Francisco,CA,94122,1395000,3.0,4.0,Inner Sunset,1720.0,811.0,,37.761522,-122.47541499999998,1937,"37.761522,-122.47541499999998"
20,Single Family Residential,817 Guerrero St,San Francisco,CA,94110,2600000,2.0,2.0,Eureka Valley/Dolore,,,,37.758045,-122.4232997,1900,"37.758045,-122.4232997"
21,Condo/Co-op,1875 Mission St #108,San Francisco,CA,94103,649000,0.0,1.0,Inner Mission,619.0,1048.0,526.0,37.7671013,-122.41944609999999,2014,"37.7671013,-122.41944609999999"
22,Condo/Co-op,221 Clara St #1,San Francisco,CA,94107,1175000,2.0,2.5,South of Market,1518.0,774.0,471.0,37.7789397,-122.4027541,2000,"37.7789397,-122.4027541"
23,Condo/Co-op,407 Miguel St,San Francisco,CA,94131,649000,1.0,1.0,Glen Park,,,245.0,37.73668,-122.426822,1890,"37.73668,-122.426822"
24,Condo/Co-op,1477 Dolores St #1477,San Francisco,CA,94110,1598000,2.0,2.0,Noe Valley,1483.0,1078.0,345.0,37.7458186,-122.42418590000001,1906,"37.7458186,-122.42418590000001"
25,Condo/Co-op,51 Innes Ct #207,San Francisco,CA,94124,699777,1.0,1.0,San Francisco,720.0,972.0,504.0,37.727211700000005,-122.367848,2017,"37.727211700000005,-122.367848"
26,Multi-Family (2-4 Unit),2437-2441 Post St,San Francisco,CA,94115,2149000,9.0,3.0,Lower Pacific Height,4260.0,504.0,,37.7837411,-122.4419644,1895,"37.7837411,-122.4419644"
27,Condo/Co-op,1781 Oak St #3,San Francisco,CA,94117,1049000,2.0,1.0,San Francisco,772.0,1359.0,,37.7714744,-122.4485572,1924,"37.7714744,-122.4485572"
28,Multi-Family (2-4 Unit),28 Santa Marina St,San Francisco,CA,94110,1250000,3.0,2.0,San Francisco,1436.0,870.0,,37.740176700000006,-122.4225598,1977,"37.740176700000006,-122.4225598"
29,Condo/Co-op,4349 18th St,San Francisco,CA,94114,1450000,2.0,2.5,San Francisco,1209.0,1199.0,398.0,37.7605142,-122.4380156,1904,"37.7605142,-122.4380156"
30,Condo/Co-op,117 Diamond Cove Ter,San Francisco,CA,94134,949000,2.0,2.5,San Francisco,1368.0,694.0,,37.7130704,-122.3941746,2012,"37.7130704,-122.3941746"
31,Condo/Co-op,5301 Mission St #4,San Francisco,CA,94112,779000,2.0,2.0,San Francisco,1018.0,765.0,307.0,37.714307399999996,-122.44263640000001,2001,"37.714307399999996,-122.44263640000001"
32,Single Family Residential,1222 43rd Ave,San Francisco,CA,94122,949000,2.0,1.0,Outer Sunset,1075.0,883.0,,37.7638278,-122.5027416,1924,"37.7638278,-122.5027416"
33,Single Family Residential,1670 Newcomb Ave,San Francisco,CA,94124,850000,2.0,1.0,Bayview,1041.0,817.0,,37.736227500000005,-122.39099740000002,1936,"37.736227500000005,-122.39099740000002"
34,Condo/Co-op,10 South Park St #9,San Francisco,CA,94107,1399000,2.0,1.75,South Beach,1145.0,1222.0,792.0,37.782357,-122.3935037,1993,"37.782357,-122.3935037"
35,Vacant Land,7 Edgar Pl,SAN FRANCISCO,CA,94112,699000,,,SAN FRANCISCO,,,,37.720595200000005,-122.45245390000001,nan,"37.720595200000005,-122.45245390000001"
36,Condo/Co-op,401 Harrison St Unit 24G,San Francisco,CA,94105,1149000,1.0,1.0,South Beach,760.0,1512.0,1225.0,37.7864989,-122.39214869999999,2014,"37.7864989,-122.39214869999999"
37,Multi-Family (5+ Unit),888 Waller St,San Francisco,CA,94117,3750000,12.0,,Buena Vista Park,5820.0,644.0,,37.7703816,-122.4383084,1900,"37.7703816,-122.4383084"
38,Condo/Co-op,197-199 Joost Ave #199,San Francisco,CA,94131,878000,2.0,1.0,Sunnyside,,,271.0,37.732239,-122.4394685,1908,"37.732239,-122.4394685"
39,Condo/Co-op,451 Kansas St #573,San Francisco,CA,94107,889000,1.0,1.0,Potrero Hill,,,520.0,37.764113,-122.4029865,2007,"37.764113,-122.4029865"
40,Condo/Co-op,262 6th Ave,San Francisco,CA,94118,1895000,3.0,2.5,Inner Richmond,2045.0,927.0,230.0,37.783665299999996,-122.464249,1905,"37.783665299999996,-122.464249"
41,Condo/Co-op,590 Lombard St,San Francisco,CA,94133,2195000,3.0,3.0,North Beach,,,,37.8031941,-122.41115400000001,1926,"37.8031941,-122.41115400000001"
42,Condo/Co-op,77 Dow Pl #102,San Francisco,CA,94107,1019000,1.0,1.5,Yerba Buena,1173.0,869.0,870.0,37.7841561,-122.3966189,2002,"37.7841561,-122.3966189"
43,Condo/Co-op,2448 Lombard St #310,San Francisco,CA,94123,1768000,2.0,2.0,Marina,1141.0,1550.0,683.0,37.799330700000006,-122.44205929999998,2020,"37.799330700000006,-122.44205929999998"
44,Condo/Co-op,2448 Lombard St #201,San Francisco,CA,94123,988000,1.0,1.0,Marina,733.0,1348.0,602.0,37.799330700000006,-122.44205929999998,2020,"37.799330700000006,-122.44205929999998"
45,Single Family Residential,1058-1060 Fulton St,San Francisco,CA,94117,4998000,7.0,5.0,Alamo Square,,,,37.777562200000006,-122.43421790000001,1911,"37.777562200000006,-122.43421790000001"
46,Single Family Residential,906 Capitol Ave,San Francisco,CA,94112,828000,2.0,1.0,Ingleside,,,,37.718413,-122.459042,1922,"37.718413,-122.459042"
47,Condo/Co-op,3641 Webster,San Francisco,CA,94117,1895000,2.0,1.5,Marina,1605.0,1181.0,437.0,37.804322,-122.435565,nan,"37.804322,-122.435565"
48,Condo/Co-op,232 Castro St #2,San Francisco,CA,94114,1875000,2.0,2.0,Duboce Triangle,1844.0,1017.0,583.0,37.765162700000005,-122.43575220000001,1997,"37.765162700000005,-122.43575220000001"
49,Single Family Residential,308 Los Palmos Dr,San Francisco,CA,94127,1250000,2.0,1.0,Miraloma Park,,,,37.7359723,-122.45029960000001,1960,"37.7359723,-122.45029960000001"
